WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Smdt1	5.7971	5.9032	1.5969	1.9939	5.8502	1.7954	1	0.2535
Med1	5.781	5.8025	1.3785	1.7416	5.7917	1.56	1	0.2538
Nadk2	6.0915	5.9183	1.5969	1.8307	6.0049	1.7138	1	0.254
Bin3	5.8711	5.8187	1.8659	1.7416	5.8449	1.8037	1	0.2545
Rtcb	6.0153	5.9644	1.5003	1.8552	5.9899	1.6777	1	0.2554
Kyat1	5.7481	5.7424	1.8266	1.7933	5.7452	1.8099	1	0.2554
A430018G15Rik	6.0502	5.8655	1.5003	1.903	5.9578	1.7017	1	0.2556
Nek2	5.8745	5.9821	1.7999	1.7545	5.9283	1.7772	1	0.2564
Gm37563	6.0007	5.7824	1.4147	1.6745	5.8916	1.5446	1	0.2576
Gnpda1	5.7463	5.7079	1.8135	1.7416	5.7271	1.7775	1	0.2577
Gm11718	5.6743	5.7195	1.5494	1.6466	5.6969	1.598	1	0.2577
Gm15488	5.9284	6.0501	1.6581	1.8184	5.9893	1.7383	1	0.2579
Samd1	6.0842	5.8436	1.4834	1.8307	5.9639	1.657	1	0.2588
Ctsd	6.1132	5.8827	1.6429	1.8184	5.9979	1.7307	1	0.2591
Cfap61	5.8069	5.8339	1.3785	1.688	5.8204	1.5332	1	0.2593
Uvssa	6.0176	5.962	1.4834	1.7018	5.9898	1.5926	1	0.2594
Gm43653	5.6945	5.6324	1.6429	1.7018	5.6635	1.6724	1	0.26
Zfp248	5.8761	5.8471	1.6126	1.5145	5.8616	1.5635	1	0.2608
Ube2q2	6.0576	5.9283	1.7307	1.8432	5.993	1.787	1	0.2611
Rhbdd1	5.6685	5.7537	1.745	1.8552	5.7111	1.8001	1	0.2613
Gm27184	6.0434	5.9901	1.6276	1.8432	6.0168	1.7354	1	0.2615
Mcrs1	5.9984	5.8981	1.7999	1.6745	5.9482	1.7372	1	0.262
Ahcyl1	6.0606	5.9191	1.6727	1.903	5.9899	1.7878	1	0.2626
Psma4	5.8385	5.833	1.3606	1.715	5.8357	1.5378	1	0.2627
Cyth2	5.8988	5.7843	1.517	1.5296	5.8415	1.5233	1	0.2634
AC163038.1	5.7426	5.6242	1.6276	1.6323	5.6834	1.6299	1	0.2641
Smtn	6.0076	5.706	1.5656	1.5748	5.8568	1.5702	1	0.2644
Rpe	5.8428	5.925	1.3785	1.7677	5.8839	1.5731	1	0.2646
Dnmt3a	6.0123	5.7108	1.7727	1.6466	5.8615	1.7097	1	0.2648
Rnf169	5.7537	5.5984	1.517	1.8307	5.676	1.6738	1	0.2648
Smim19	5.8402	5.7414	1.3606	1.7416	5.7908	1.5511	1	0.2649
Tmem185b	6.0479	5.9909	1.6276	1.8432	6.0194	1.7354	1	0.265
Vegfb	5.9851	5.7357	1.4319	1.6323	5.8604	1.5321	1	0.2656
AY074887	5.8454	5.8374	1.3606	1.7018	5.8414	1.5312	1	0.2656
Gm4258	5.8359	5.7147	1.7727	1.9605	5.7753	1.8666	1	0.2657
Atr	5.8677	5.8568	1.517	1.5296	5.8622	1.5233	1	0.2658
Rad50	5.7837	5.7555	1.4494	1.5893	5.7696	1.5194	1	0.2659
Grcc10	5.8574	5.848	1.3606	1.7018	5.8527	1.5312	1	0.2661
Kat6a	6.0191	5.8115	1.4147	1.6745	5.9153	1.5446	1	0.2663
Nars2	5.7145	5.6697	1.7727	1.8184	5.6921	1.7956	1	0.2664
Zfp747	5.7183	5.7898	1.8266	1.7286	5.754	1.7776	1	0.2666
1700040L08Rik	5.9984	5.9965	1.745	1.7286	5.9974	1.7368	1	0.2668
C230038L03Rik	5.7136	5.6697	1.7727	1.8184	5.6916	1.7956	1	0.267
Med9os	5.8971	6.027	1.5656	1.9146	5.9621	1.7401	1	0.2678
Pgm2	5.9062	5.8663	1.7022	2.0158	5.8863	1.859	1	0.2683
Sptlc2	6.1074	5.8295	1.5969	1.6466	5.9684	1.6218	1	0.2686
Naa35	5.7719	5.6108	1.6276	1.6182	5.6914	1.6229	1	0.2688
Avpi1	5.7629	5.7499	1.7862	1.9377	5.7564	1.8619	1	0.2689
Idua	5.978	5.869	1.8532	1.7933	5.9235	1.8232	1	0.2703
Chd6	5.9389	5.6476	1.8135	1.715	5.7933	1.7643	1	0.2705
Tfam	5.9796	5.9741	1.7587	1.6604	5.9768	1.7096	1	0.2705
Cntrl	5.9788	6.0067	1.4834	1.8432	5.9928	1.6633	1	0.271
Rab4a	5.8096	5.7667	1.7307	2.005	5.7882	1.8679	1	0.271
Ccdc146	5.7445	5.7176	1.7862	1.6323	5.731	1.7092	1	0.2711
1700018L02Rik	5.9804	5.8629	1.3785	1.715	5.9216	1.5468	1	0.2711
Opa1	5.9725	5.8214	1.4147	1.6182	5.897	1.5165	1	0.2714
Samhd1	5.8245	5.6953	1.4147	1.6323	5.7599	1.5235	1	0.2716
Tlk1	5.8904	5.8124	1.8135	1.5893	5.8514	1.7014	1	0.2717
Ngly1	5.7981	5.8498	1.3967	1.6323	5.8239	1.5145	1	0.2717
Gm37153	5.7638	5.7224	1.4147	1.6466	5.7431	1.5307	1	0.2721
Dpy19l4	5.8307	5.787	1.4494	1.5597	5.8088	1.5046	1	0.2722
Crot	5.7592	5.7204	1.3967	1.688	5.7398	1.5423	1	0.2724
Gm24009	6.0636	5.9571	1.5003	1.8184	6.0103	1.6594	1	0.2728
Fam234a	5.6439	5.7537	1.5969	1.6323	5.6988	1.6146	1	0.273
Dut	5.9898	6.0286	1.7163	1.7416	6.0092	1.729	1	0.2732
Dtnbp1	5.9921	5.9208	1.4319	1.891	5.9565	1.6615	1	0.2732
Gm26770	5.6743	5.7137	1.6727	1.6182	5.694	1.6454	1	0.2734
Eml3	6.0944	5.9308	1.7022	1.7286	6.0126	1.7154	1	0.2734
Prkra	5.835	5.7021	1.8266	1.903	5.7686	1.8648	1	0.2736
Myg1	5.7454	5.6806	1.5494	1.5748	5.713	1.5621	1	0.2737
Brat1	5.8626	5.8097	1.342	1.8057	5.8361	1.5738	1	0.2738
Arl5a	6.0569	5.8707	1.5003	1.9264	5.9638	1.7133	1	0.274
Hacl1	5.955	5.9853	1.4319	1.8307	5.9702	1.6313	1	0.2743
Letm1	6.0207	6.0325	1.6126	1.8184	6.0266	1.7155	1	0.2743
Ice2	5.8795	5.6426	1.517	1.5748	5.761	1.5459	1	0.2744
Klhdc4	5.8938	5.8672	1.8789	1.7416	5.8805	1.8102	1	0.2747
Gm4219	5.7918	5.8321	1.4834	1.545	5.812	1.5142	1	0.2748
Gabpb2	5.7537	5.9316	1.5811	1.5597	5.8427	1.5704	1	0.2749
Agfg1	5.7145	5.6324	1.7307	1.688	5.6735	1.7094	1	0.2755
Pmel	5.9341	5.8767	1.3606	1.715	5.9054	1.5378	1	0.2757
Uhrf1bp1l	5.7927	5.7166	1.745	1.9829	5.7546	1.864	1	0.2759
Ficd	5.8245	5.7281	1.3785	1.6604	5.7763	1.5194	1	0.276
Nthl1	5.951	5.9191	1.3785	1.8184	5.9351	1.5985	1	0.2762
Tsc2	5.9518	5.9191	1.3785	1.8184	5.9355	1.5985	1	0.2765
Ssb	5.7491	5.6647	1.5656	1.5748	5.7069	1.5702	1	0.2765
Pdcd5	5.9765	5.9845	1.4494	1.688	5.9805	1.5687	1	0.2767
Zbtb14	5.9406	5.93	1.4319	1.6182	5.9353	1.5251	1	0.2767
Saraf	5.8887	5.9116	1.84	1.891	5.9002	1.8655	1	0.2769
Tnnc1	5.978	5.8896	1.8532	1.8057	5.9338	1.8295	1	0.277
Plin3	5.9478	5.7952	1.3967	1.9264	5.8715	1.6615	1	0.2771
Bcas2	5.9397	5.9116	1.4319	1.6041	5.9257	1.518	1	0.2772
Dnajc13	5.978	5.7686	1.3606	1.7933	5.8733	1.577	1	0.2779
Glrx3	5.9929	5.875	1.5003	1.5597	5.9339	1.53	1	0.278
Eloa	6.0651	5.8896	1.4319	1.7803	5.9773	1.6061	1	0.2781
Surf6	6.0076	5.8007	1.6126	1.5296	5.9042	1.5711	1	0.2782
Gm22396	5.7155	5.6314	1.745	1.7018	5.6734	1.7234	1	0.2782
Ip6k2	6.1117	5.9341	1.6727	1.7803	6.0229	1.7265	1	0.2783
Faf2	6.0561	5.9805	1.6429	1.6604	6.0183	1.6517	1	0.2785
Dda1	5.9686	5.6982	1.4319	1.6182	5.8334	1.5251	1	0.2791
Tspan3	6.0115	5.841	1.7862	1.9377	5.9262	1.8619	1	0.2792
Ddah2	6.0937	5.8964	1.6727	1.903	5.995	1.7878	1	0.2793
Med7	5.7435	5.6025	1.5494	1.6466	5.673	1.598	1	0.2793
Igsf10	5.8254	5.9023	1.3785	1.6604	5.8639	1.5194	1	0.281
Uri1	5.7389	5.6845	1.4494	1.6323	5.7117	1.5408	1	0.2812
Cep55	5.8904	5.9349	1.745	1.5597	5.9127	1.6524	1	0.2813
Nr1h2	5.6917	5.8088	1.7022	1.5748	5.7503	1.6385	1	0.2813
Itm2c	6.0321	5.9233	1.4147	1.7545	5.9777	1.5846	1	0.2814
Ctc1	5.963	5.8524	1.3606	1.7018	5.9077	1.5312	1	0.2817
Papss1	5.7774	5.7405	1.4319	1.5893	5.7589	1.5106	1	0.2823
Mlx	5.9874	5.7962	1.4319	1.5893	5.8918	1.5106	1	0.2828
Becn1	5.7692	5.6517	1.745	1.6041	5.7104	1.6745	1	0.283
Med9	5.8979	6.0286	1.5331	1.9264	5.9633	1.7297	1	0.283
Mllt1	5.8167	5.6385	1.8266	1.8307	5.7276	1.8286	1	0.2832
Sgo1	5.7909	5.9032	1.3785	1.6745	5.847	1.5265	1	0.2838
Katnal1	6.023	6.0379	1.6429	1.8307	6.0304	1.7368	1	0.2838
4933412A08Rik	5.6498	5.6597	1.6276	1.6745	5.6548	1.651	1	0.2838
Itch	6.0798	5.93	1.5331	1.6466	6.0049	1.5898	1	0.2842
1110032A03Rik	5.7249	5.8079	1.7022	1.545	5.7664	1.6236	1	0.2845
Rnu7	5.8702	5.855	1.342	1.7018	5.8626	1.5219	1	0.2846
B930086L07Rik	5.9921	5.8142	1.8532	1.8671	5.9032	1.8602	1	0.2847
Xpr1	5.761	5.7195	1.4319	1.6041	5.7403	1.518	1	0.2848
Epg5	5.682	5.6806	1.5811	1.6041	5.6813	1.5926	1	0.2849
Pla2g15	5.8668	5.704	1.8659	1.688	5.7854	1.7769	1	0.2853
Timm21	5.959	5.9374	1.8266	1.8793	5.9482	1.853	1	0.2856
Gm24940	5.8219	5.7002	1.3785	1.6604	5.761	1.5194	1	0.2856
Nsmaf	5.7454	5.5506	1.6126	1.7677	5.648	1.6901	1	0.2857
Lamp1	5.9874	5.7649	1.5969	1.5145	5.8762	1.5557	1	0.2861
Ap5z1	5.9004	5.7695	1.3606	1.6466	5.835	1.5036	1	0.2863
Nabp1	5.947	5.9341	1.8135	1.9146	5.9406	1.864	1	0.2866
Map1lc3a	5.9526	5.7089	1.6126	1.5145	5.8308	1.5635	1	0.2873
Zfp382	5.8228	5.7751	1.5003	1.5145	5.7989	1.5074	1	0.2874
Adnp2	5.8862	5.8471	1.342	1.688	5.8667	1.515	1	0.2875
Rnf111	5.7638	5.6527	1.5656	1.5597	5.7082	1.5627	1	0.2878
Rnu3a	5.8887	5.9741	1.4668	1.5893	5.9314	1.528	1	0.2885
Thap8	5.7989	5.848	1.4834	2.0158	5.8235	1.7496	1	0.2886
Hist4h4	5.8376	5.9407	1.3785	1.8671	5.8892	1.6228	1	0.2887
Rom1	6.0951	5.9325	1.745	1.7545	6.0138	1.7497	1	0.2887
Cad	5.9161	5.8401	1.4668	1.5296	5.8781	1.4982	1	0.2889
Wdr90	5.7719	5.6263	1.5003	1.6041	5.6991	1.5522	1	0.2892
Rnf215	5.7801	5.8016	1.4834	1.5296	5.7908	1.5065	1	0.2901
Cirbp	5.9381	5.92	1.84	1.6466	5.9291	1.7433	1	0.2902
Vangl2	5.7692	5.6835	1.7999	1.9264	5.7264	1.8631	1	0.2902
Spsb2	6.0893	5.7952	1.517	1.9377	5.9423	1.7274	1	0.2904
Fam204a	5.6429	5.6597	1.6875	1.7018	5.6513	1.6946	1	0.2905
Cbfa2t2	5.8411	5.7452	1.3606	1.6466	5.7931	1.5036	1	0.2906
Exd1	5.7564	5.7806	1.3606	1.688	5.7685	1.5243	1	0.2915
Clptm1l	6.0651	5.8879	1.7727	1.6466	5.9765	1.7097	1	0.2917
Ift88	5.682	5.8418	1.6727	1.5597	5.7619	1.6162	1	0.2928
Aip	6.0591	5.8733	1.5003	1.5893	5.9662	1.5448	1	0.293
Klhdc1	5.7527	5.6304	1.4834	1.6182	5.6916	1.5508	1	0.2931
Kidins220	5.6743	5.6273	1.6875	1.6745	5.6508	1.681	1	0.2935
Emilin1	6.0214	5.6557	1.6581	1.5748	5.8386	1.6165	1	0.2937
Elp6	5.6733	5.73	1.4668	1.6323	5.7017	1.5495	1	0.2938
A930037H05Rik	5.9662	5.8938	1.7727	1.9829	5.93	1.8778	1	0.2938
Cpt2	5.7117	5.6904	1.7999	1.6604	5.701	1.7301	1	0.2938
Sp1	5.6359	5.6746	1.5331	1.8552	5.6553	1.6941	1	0.294
Ube2e3	5.882	5.8515	1.3231	1.7803	5.8668	1.5517	1	0.2942
Gm20732	5.7683	5.6647	1.8135	1.6466	5.7165	1.7301	1	0.2943
Cisd1	5.6791	5.6527	1.7587	1.7018	5.6659	1.7303	1	0.2947
Mtmr9	5.8506	5.7741	1.3231	1.7416	5.8124	1.5323	1	0.2947
Atp6v1g1	5.963	5.8277	1.4319	1.5597	5.8953	1.4958	1	0.2948
Abcc10	5.6801	5.73	1.6875	1.5748	5.7051	1.6312	1	0.2948
Ttc32	5.8745	6.0208	1.7862	1.8793	5.9476	1.8327	1	0.295
Gm26663	5.8385	5.7907	1.4494	1.5296	5.8146	1.4895	1	0.2952
Cyp39a1	5.8419	5.8862	1.7307	1.5145	5.8641	1.6226	1	0.2954
1600002H07Rik	5.8078	5.6677	1.3606	1.7545	5.7378	1.5576	1	0.2962
Tmem5	5.6097	5.6845	1.5811	1.8307	5.6471	1.7059	1	0.2967
Cstb	5.7211	5.6904	1.5969	1.545	5.7058	1.571	1	0.2968
Rfx5	5.8376	5.7751	1.3967	1.5748	5.8063	1.4858	1	0.2968
Atad1	6.0146	5.9341	1.8135	1.8793	5.9743	1.8464	1	0.2968
Sorbs1	5.7407	5.543	1.5811	1.7933	5.6419	1.6872	1	0.2971
Btd	5.9534	5.9869	1.3967	1.8184	5.9702	1.6076	1	0.2971
Rpia	5.9037	5.9158	1.8135	1.9605	5.9098	1.887	1	0.2973
Gm36940	6.1002	5.9909	1.5656	1.7545	6.0456	1.66	1	0.2979
Mapre1	6.0636	5.9266	1.517	1.6041	5.9951	1.5605	1	0.2979
Wfdc3	5.9984	5.8151	1.7587	1.545	5.9067	1.6519	1	0.298
Map1lc3b	6.0717	5.855	1.6581	1.9829	5.9634	1.8205	1	0.298
Hdgfl2	5.8122	5.531	1.5969	1.8671	5.6716	1.732	1	0.2982
B230219D22Rik	6.0798	5.9612	1.517	1.6604	6.0205	1.5887	1	0.2983
Pacsin2	5.9153	5.7621	1.6581	1.4834	5.8387	1.5707	1	0.2988
Fbxw2	5.7936	5.7376	1.84	1.9377	5.7656	1.8888	1	0.2993
Afg1l	5.682	5.615	1.4834	1.7803	5.6485	1.6318	1	0.2996
Ikzf2	5.7183	5.6486	1.7587	1.9146	5.6835	1.8366	1	0.2998
Gm38186	5.8488	5.9333	1.3606	1.6745	5.8911	1.5176	1	0.3
Lcor	6.0988	5.9382	1.7587	1.7803	6.0185	1.7695	1	0.3
Endog	5.7592	5.6577	1.3785	1.7677	5.7084	1.5731	1	0.3003
Gm10644	5.6762	5.6355	1.4668	1.8057	5.6559	1.6362	1	0.3004
Nup107	5.9251	5.8707	1.6126	1.4834	5.8979	1.548	1	0.3005
Tfdp2	5.6945	5.5847	1.517	1.7545	5.6396	1.6357	1	0.3005
Apeh	5.7819	5.6557	1.7022	1.545	5.7188	1.6236	1	0.3006
Atmin	5.8668	5.7537	1.5003	1.4988	5.8102	1.4995	1	0.3007
Ppp2r5b	5.9194	5.7002	1.342	1.715	5.8098	1.5285	1	0.3012
Zc3h15	6.0472	5.9853	1.4494	1.8057	6.0162	1.6276	1	0.3012
Fdxacb1	5.7268	5.8115	1.6727	1.5145	5.7692	1.5936	1	0.3014
Brd7	6.0995	5.92	1.7307	1.6604	6.0097	1.6956	1	0.3016
Rmrp	5.7003	5.6933	1.7727	1.9264	5.6968	1.8496	1	0.3023
Ap1ar	5.6888	5.6232	1.7587	1.715	5.656	1.7369	1	0.3024
Inpp5k	5.8787	5.7916	1.7022	1.4834	5.8351	1.5928	1	0.3025
Pdia6	5.9827	5.9837	1.517	1.5748	5.9832	1.5459	1	0.3031
Usp8	5.9243	5.7925	1.8918	1.8793	5.8584	1.8856	1	0.3032
Lrrc75aos2	5.8025	5.7806	1.3231	1.8184	5.7916	1.5708	1	0.3033
Polr2m	6.0621	5.9668	1.7587	1.8671	6.0145	1.8129	1	0.3033
Zfp637	5.9071	5.9757	1.4494	1.9605	5.9414	1.705	1	0.3036
Malsu1	6.0532	6.0185	1.5656	1.6604	6.0358	1.613	1	0.3042
Ndufb7	6.0487	6.0448	1.6727	1.8057	6.0467	1.7392	1	0.3042
Fam160a2	5.7117	5.5624	1.5656	1.7018	5.6371	1.6337	1	0.3043
Kdm8	5.9062	5.9853	1.6429	1.5296	5.9458	1.5863	1	0.3045
AC139638.1	5.7155	5.9225	1.6727	1.545	5.819	1.6088	1	0.3046
Stx6	5.943	5.9457	1.8659	1.8432	5.9443	1.8545	1	0.3051
Gm45885	5.7079	5.5592	1.6727	1.7286	5.6335	1.7006	1	0.3058
Fbxo7	5.8488	5.8862	1.84	1.9605	5.8675	1.9002	1	0.3059
Gm12257	6.023	6.0122	1.4668	1.688	6.0176	1.5774	1	0.3061
Dnttip1	6.0007	5.8179	1.7163	1.5145	5.9093	1.6154	1	0.3061
Trit1	5.7701	5.6627	1.3967	1.6466	5.7164	1.5217	1	0.3064
Mapk9	6.1117	5.9266	1.4834	1.7018	6.0192	1.5926	1	0.3065
Lsg1	5.7837	5.7452	1.8918	1.8432	5.7645	1.8675	1	0.3066
Usp25	5.8419	5.7319	1.5003	1.4988	5.7869	1.4995	1	0.3067
Mtch1	5.8812	5.7262	1.3231	1.8307	5.8037	1.5769	1	0.3073
Appl1	5.9921	6.0773	1.6727	1.715	6.0347	1.6938	1	0.3073
Mthfd2	5.6927	5.7943	1.4494	1.9605	5.7435	1.705	1	0.3076
B3gntl1	5.7426	5.8585	1.3606	1.8793	5.8006	1.62	1	0.3078
L3mbtl2	5.7555	5.7555	1.342	1.7018	5.7555	1.5219	1	0.3079
Uxs1	6.0184	6.0059	1.6875	1.6041	6.0122	1.6458	1	0.308
Rbm45	5.7981	5.6557	1.5969	1.5145	5.7269	1.5557	1	0.3081
Pcyt2	5.8685	5.8629	1.4494	2.0268	5.8657	1.7381	1	0.3081
Sel1l	5.7954	5.817	1.342	1.6466	5.8062	1.4943	1	0.3089
Mrps12	5.926	5.9701	1.3606	1.7286	5.948	1.5446	1	0.3089
Tnrc6a	5.978	5.9612	1.4668	1.5748	5.9696	1.5208	1	0.3092
Lamb2	5.9021	5.7031	1.6581	2.0587	5.8026	1.8584	1	0.3095
Fam109a	5.9219	5.6845	1.8918	1.7416	5.8032	1.8167	1	0.3096
Grk2	6.1437	5.8515	1.5003	1.688	5.9976	1.5941	1	0.3098
Rrm1	5.723	5.7021	1.5494	1.5296	5.7126	1.5395	1	0.3098
Smu1	5.8643	6.0239	1.8135	1.8671	5.9441	1.8403	1	0.3101
Sptssa	5.9251	5.8972	1.342	1.8793	5.9112	1.6106	1	0.3103
Brpf3	5.9835	5.9191	1.6429	2.0374	5.9513	1.8402	1	0.3104
Nifk	5.9186	5.8879	1.9042	1.715	5.9032	1.8096	1	0.3106
Adrm1	6.071	5.8454	1.4147	1.6466	5.9582	1.5307	1	0.3107
Zfp212	5.8463	5.8989	1.5494	1.4834	5.8726	1.5164	1	0.3108
Gm26083	6.1465	5.9358	1.5494	1.7545	6.0411	1.6519	1	0.3108
Fam8a1	5.7801	5.5624	1.5969	1.6041	5.6713	1.6005	1	0.3109
Zhx3	5.761	5.6273	1.7022	1.9829	5.6942	1.8426	1	0.3111
Dcp2	5.9454	5.9595	1.517	1.5296	5.9525	1.5233	1	0.3113
Arrdc4	6.0762	5.953	1.4668	1.6604	6.0146	1.5636	1	0.3118
Gm16343	5.7619	5.6406	1.5003	1.5597	5.7012	1.53	1	0.3124
Ttpal	5.7509	5.5911	1.4494	1.6745	5.671	1.5619	1	0.3124
Chp1	5.7555	5.7806	1.3606	1.6323	5.7681	1.4965	1	0.3125
Ergic1	6.0636	5.8836	1.8266	1.6745	5.9736	1.7505	1	0.3125
Tulp3	5.6704	5.7166	1.7163	1.5748	5.6935	1.6456	1	0.3132
Rab7	6.0944	5.9374	1.5969	1.949	6.0159	1.773	1	0.3135
Psmc3ip	5.7098	5.5931	1.4668	1.7018	5.6515	1.5843	1	0.3136
Gabarapl2	6.0554	5.9733	1.6727	1.5893	6.0144	1.631	1	0.3137
Yeats4	5.7164	5.9233	1.6581	1.5296	5.8199	1.5938	1	0.3137
Snhg7os	6.0695	5.9668	1.5969	1.5893	6.0182	1.5931	1	0.3138
Timm22	5.9542	5.9789	1.7999	1.9377	5.9666	1.8688	1	0.314
Sars2	5.9251	5.9709	1.3606	1.7018	5.948	1.5312	1	0.3141
Pnkp	6.0306	5.9514	1.4319	1.6323	5.991	1.5321	1	0.3142
Tor1a	6.1324	5.9781	1.5811	1.7545	6.0553	1.6678	1	0.3142
Tmem167b	5.9202	5.8179	1.3045	1.7416	5.869	1.523	1	0.3145
Psmb7	5.8921	5.6875	1.5811	1.4834	5.7898	1.5322	1	0.3148
Nek6	6.0434	5.9628	1.6429	1.9829	6.0031	1.8129	1	0.3149
Homez	5.9103	5.8498	1.3231	1.8793	5.8801	1.6012	1	0.315
Gnl2	5.8651	5.92	1.9042	1.8184	5.8925	1.8613	1	0.3153
Dsn1	5.6655	5.7489	1.4147	1.891	5.7072	1.6529	1	0.3154
C2	5.8979	5.6486	1.342	1.7545	5.7733	1.5482	1	0.3159
Gm6288	5.9381	5.8463	1.9169	1.7286	5.8922	1.8227	1	0.316
Dnpep	6.0929	6.0114	1.6126	1.8671	6.0522	1.7398	1	0.316
Usp28	5.9709	5.9341	1.342	1.7803	5.9525	1.5611	1	0.316
Gm15567	6.0922	5.9217	1.7587	1.903	6.0069	1.8309	1	0.3164
Hyal3	5.8862	5.7518	1.3231	1.6604	5.819	1.4917	1	0.3164
Rab11fip2	5.7927	5.8339	1.4494	1.5145	5.8133	1.482	1	0.3166
C230035I16Rik	5.8523	5.7741	1.3045	1.8307	5.8132	1.5676	1	0.3168
Gm27960	5.9446	5.7649	1.342	1.6323	5.8547	1.4871	1	0.3169
Ssr2	5.9446	5.763	1.4494	1.5145	5.8538	1.482	1	0.3171
Chmp3	5.9945	5.9925	1.84	1.7677	5.9935	1.8038	1	0.3175
Slc35f6	5.7352	5.6036	1.8135	1.7416	5.6694	1.7775	1	0.3176
Mir5625	5.7352	5.6036	1.8135	1.7416	5.6694	1.7775	1	0.3176
Nae1	5.9662	5.9741	1.8659	1.7545	5.9701	1.8102	1	0.3176
Nudc	5.8043	5.8223	1.4668	1.4988	5.8133	1.4828	1	0.3178
Zfp12	5.9153	5.9917	1.6276	2.0268	5.9535	1.8272	1	0.318
Tnfaip8	5.6955	5.7405	1.8659	1.8184	5.718	1.8422	1	0.3182
Snhg20	6.1324	5.92	1.5811	1.6323	6.0262	1.6067	1	0.3185
Mllt10	6.0849	5.9917	1.4668	1.7545	6.0383	1.6106	1	0.3187
Tmem134	6.0591	5.8733	1.4834	1.5597	5.9662	1.5216	1	0.3188
Rab12	6.1182	5.893	1.7587	1.6604	6.0056	1.7096	1	0.3191
Nup160	5.8307	5.8489	1.4147	1.5296	5.8398	1.4721	1	0.3191
Mfsd10	6.0268	5.9909	1.4147	1.7018	6.0088	1.5582	1	0.3201
Orai3	6.0268	5.7499	1.8659	1.8793	5.8883	1.8726	1	0.3202
Eea1	6.0374	5.9333	1.4147	1.6323	5.9853	1.5235	1	0.3203
4930505N22Rik	5.8324	5.8348	1.4834	1.4834	5.8336	1.4834	1	0.3204
Yeats2	5.8237	5.9283	1.4494	1.5296	5.876	1.4895	1	0.3206
Adck2	5.8668	5.7732	1.4494	1.4988	5.82	1.4741	1	0.3206
Gm16740	5.7509	5.9316	1.5331	1.5145	5.8413	1.5238	1	0.3208
Tmem138	6.0739	5.962	1.4319	1.8432	6.0179	1.6375	1	0.321
Cfap97	5.9968	6.0067	1.3967	1.7933	6.0018	1.595	1	0.3211
Rab18	5.7846	5.7815	1.5656	1.4678	5.7831	1.5167	1	0.3211
Ube3c	5.8007	5.7508	1.8659	1.949	5.7758	1.9074	1	0.3211
Traf6	5.8862	5.8061	1.6581	2.0898	5.8462	1.874	1	0.3212
Vps4a	5.9606	5.9116	1.3231	1.7677	5.9361	1.5454	1	0.3214
Gm7393	6.0524	6.0106	1.6875	1.6182	6.0315	1.6529	1	0.3215
Coro1b	5.9349	5.6884	1.6581	1.4834	5.8117	1.5707	1	0.3216
Mapk1ip1l	5.8523	5.7461	1.4319	1.5145	5.7992	1.4732	1	0.3216
Hist1h4h	5.9622	5.9988	1.3967	1.8793	5.9805	1.638	1	0.3218
Lipt2	5.6178	5.7002	1.7307	1.891	5.659	1.8109	1	0.3219
Tut1	5.7665	5.887	1.342	1.6604	5.8268	1.5012	1	0.322
Fam168a	6.0115	6.0409	1.4834	1.6604	6.0262	1.5719	1	0.3221
Foxj2	6.0835	5.9374	1.4668	1.9146	6.0104	1.6907	1	0.3222
Asf1b	5.6869	5.6426	1.4494	1.6466	5.6647	1.548	1	0.3222
Atf6	5.9835	6.0224	1.5331	1.5748	6.0029	1.5539	1	0.323
Cyb561a3	6.0784	5.9603	1.4319	1.8432	6.0194	1.6375	1	0.3231
Mrpl9	5.8175	5.8672	1.8789	1.9377	5.8424	1.9083	1	0.3231
Tmem33	5.912	5.7778	1.342	1.6041	5.8449	1.473	1	0.3232
Zfp39	6.0268	6.0146	1.4668	1.6466	6.0207	1.5567	1	0.3233
Herc2	5.9268	5.8079	1.3231	1.903	5.8674	1.6131	1	0.3234
Atg101	6.1017	5.9988	1.7307	1.8057	6.0502	1.7682	1	0.3235
Gm43969	5.8497	5.9538	1.342	1.8671	5.9018	1.6045	1	0.3238
Cat	5.978	5.9957	1.5003	1.5597	5.9869	1.53	1	0.3239
E130308A19Rik	5.9381	5.9057	1.342	1.903	5.9219	1.6225	1	0.3242
Gm12925	5.9874	5.7357	1.9042	1.8184	5.8616	1.8613	1	0.3242
Psmg1	5.9414	6.0524	1.4319	1.688	5.9969	1.5599	1	0.3244
Gm37696	5.6518	5.5963	1.517	1.715	5.624	1.616	1	0.3244
Farsa	6.0879	6.0363	1.6875	1.7933	6.0621	1.7404	1	0.3246
Gm20458	5.8668	5.8896	1.3967	1.545	5.8782	1.4708	1	0.3247
Mtif2	5.7909	5.7658	1.342	1.6182	5.7784	1.4801	1	0.325
Gm11335	5.9526	5.9869	1.3785	1.8793	5.9698	1.6289	1	0.3251
Tnfsf13os	6.0658	5.9023	1.4147	1.6323	5.9841	1.5235	1	0.3255
Gm18407	5.8488	5.7723	1.8266	2.0158	5.8106	1.9212	1	0.3263
Alkbh2	5.9518	5.8955	1.3606	1.6041	5.9237	1.4824	1	0.3263
Kif23	5.8988	5.7998	1.9169	1.891	5.8493	1.9039	1	0.327
